age,gender,marital_status,dependents,education,employment_type,city_tier,residence_type,monthly_income,cibil_score,existing_loans_count,credit_history_length_years,bank_balance,loan_amount,loan_term_months,loan_purpose,debt_to_income_ratio,loan_approved
21,Male,Married,2,Graduate,Salaried,Tier 1,Owned,48000,508,0,0.0,220000,48000,60,Debt Consolidation,0.022,Rejected
23,Female,Single,3,Not Graduate,Self-Employed,Tier 1,Owned,129000,661,0,1.4,565000,251000,36,Home Renovation,0.065,Approved
28,Male,Single,2,Not Graduate,Self-Employed,Tier 3,Rented,21000,521,1,4.3,113000,695000,48,Debt Consolidation,0.872,Rejected
24,Female,Single,1,Graduate,Business Owner,Tier 2,Living with Parents,39000,612,1,2.5,143000,133000,120,Vehicle,0.049,Rejected
21,Female,Married,2,Graduate,Business Owner,Tier 3,Owned,21000,649,1,0.0,29000,165000,240,Education,0.087,Rejected
34,Male,Single,1,Graduate,Unemployed,Tier 1,Owned,8000,653,0,11.1,6000,376000,84,Vehicle,0.83,Rejected
41,Male,Single,2,Graduate,Business Owner,Tier 2,Owned,47000,641,0,16.0,138000,441000,24,Travel,0.442,Rejected
43,Female,Married,2,Not Graduate,Business Owner,Tier 1,Living with Parents,58000,715,1,16.5,259000,234000,48,Vehicle,0.106,Approved
30,Female,Single,2,Graduate,Salaried,Tier 2,Rented,9000,693,0,5.1,7000,144000,60,Travel,0.356,Rejected
32,Female,Single,0,Not Graduate,Business Owner,Tier 1,Owned,55000,674,0,6.0,103000,487000,180,Wedding,0.106,Approved
38,Female,Single,0,Graduate,Self-Employed,Tier 1,Rented,146000,678,1,9.1,692000,105000,60,Medical,0.016,Approved
34,Male,Married,1,Graduate,Salaried,Tier 1,Owned,54000,754,1,4.3,95000,161000,60,Wedding,0.066,Approved
42,Male,Married,2,Graduate,Salaried,Tier 2,Rented,35000,730,3,13.9,91000,313000,36,Wedding,0.297,Approved
38,Male,Single,2,Not Graduate,Self-Employed,Tier 1,Owned,40000,678,0,13.2,184000,86000,60,Wedding,0.048,Approved
31,Female,Married,0,Graduate,Salaried,Tier 3,Living with Parents,19000,578,1,7.5,54000,277000,36,Business Expansion,0.484,Rejected
21,Female,Married,2,Not Graduate,Salaried,Tier 1,Living with Parents,53000,609,5,0.0,251000,435000,60,Medical,0.183,Rejected
48,Male,Single,3,Graduate,Self-Employed,Tier 1,Rented,71000,680,0,13.9,141000,601000,120,Business Expansion,0.121,Approved
28,Male,Single,1,Graduate,Business Owner,Tier 2,Rented,131000,591,0,5.0,756000,174000,240,Travel,0.015,Approved
38,Male,Single,2,Graduate,Business Owner,Tier 3,Rented,27000,728,0,10.5,27000,169000,120,Wedding,0.09,Approved
21,Male,Married,1,Graduate,Salaried,Tier 1,Owned,102000,667,0,0.0,473000,337000,120,Business Expansion,0.047,Approved
34,Female,Married,1,Not Graduate,Salaried,Tier 1,Rented,100000,650,2,6.0,91000,152000,48,Business Expansion,0.04,Approved
35,Female,Single,0,Graduate,Salaried,Tier 3,Rented,26000,639,0,5.1,134000,183000,84,Home Renovation,0.124,Approved
36,Female,Married,0,Graduate,Salaried,Tier 1,Living with Parents,34000,653,1,4.5,43000,267000,48,Vehicle,0.207,Rejected
62,Male,Single,0,Graduate,Salaried,Tier 2,Owned,18000,700,0,30.6,67000,275000,12,Wedding,1.357,Rejected
29,Male,Single,2,Graduate,Unemployed,Tier 1,Rented,13000,694,2,5.3,30000,70000,180,Education,0.065,Rejected
42,Female,Married,2,Graduate,Self-Employed,Tier 2,Rented,38000,654,1,7.1,145000,109000,12,Debt Consolidation,0.255,Rejected
39,Female,Single,3,Graduate,Salaried,Tier 1,Owned,90000,674,0,14.5,69000,73000,24,Medical,0.038,Approved
28,Male,Married,1,Not Graduate,Salaried,Tier 2,Rented,49000,619,2,4.1,262000,81000,12,Travel,0.147,Rejected
42,Female,Single,3,Graduate,Self-Employed,Tier 3,Living with Parents,12000,581,1,12.1,53000,112000,12,Vehicle,0.829,Rejected
33,Male,Married,1,Graduate,Self-Employed,Tier 3,Living with Parents,34000,604,3,8.5,82000,192000,12,Wedding,0.502,Rejected
42,Male,Single,1,Graduate,Salaried,Tier 2,Rented,48000,742,0,14.3,148000,204000,84,Medical,0.075,Approved
52,Male,Married,2,Not Graduate,Unemployed,Tier 3,Owned,8000,616,1,13.7,32000,60000,180,Business Expansion,0.09,Rejected
36,Male,Single,1,Not Graduate,Salaried,Tier 1,Living with Parents,82000,704,0,10.3,320000,126000,120,Travel,0.022,Approved
32,Male,Married,1,Not Graduate,Salaried,Tier 1,Rented,37000,679,1,9.0,149000,88000,60,Medical,0.053,Approved
44,Male,Single,0,Graduate,Salaried,Tier 2,Owned,71000,733,1,12.3,96000,195000,120,Education,0.039,Approved
47,Female,Married,2,Graduate,Self-Employed,Tier 2,Owned,33000,669,1,12.3,160000,148000,48,Medical,0.118,Approved
27,Male,Single,1,Not Graduate,Salaried,Tier 1,Owned,42000,720,0,2.0,127000,467000,180,Vehicle,0.133,Approved
30,Male,Married,0,Not Graduate,Salaried,Tier 2,Owned,117000,718,2,6.0,573000,202000,48,Medical,0.045,Approved
41,Female,Single,1,Graduate,Salaried,Tier 2,Rented,19000,696,3,15.1,107000,153000,12,Wedding,0.715,Rejected
33,Male,Single,2,Not Graduate,Self-Employed,Tier 2,Owned,46000,672,0,10.6,49000,188000,84,Home Renovation,0.072,Approved
26,Male,Married,1,Not Graduate,Salaried,Tier 3,Owned,39000,578,2,3.3,96000,149000,120,Travel,0.055,Approved
39,Female,Single,0,Graduate,Salaried,Tier 2,Rented,29000,717,0,10.2,99000,491000,36,Medical,0.562,Approved
41,Male,Single,1,Graduate,Salaried,Tier 1,Rented,65000,691,1,17.2,81000,180000,36,Vehicle,0.092,Approved
31,Male,Married,0,Graduate,Salaried,Tier 2,Owned,60000,631,0,4.1,116000,289000,84,Wedding,0.085,Approved
35,Male,Married,3,Graduate,Salaried,Tier 2,Owned,47000,618,2,10.2,36000,353000,60,Debt Consolidation,0.167,Approved
29,Male,Single,0,Not Graduate,Salaried,Tier 1,Owned,56000,704,1,4.0,238000,148000,180,Business Expansion,0.032,Approved
25,Female,Married,0,Graduate,Salaried,Tier 2,Rented,54000,584,2,3.3,174000,74000,48,Medical,0.036,Approved
30,Female,Married,4,Not Graduate,Salaried,Tier 3,Owned,21000,611,0,6.7,14000,165000,84,Medical,0.139,Rejected
35,Female,Single,1,Not Graduate,Salaried,Tier 1,Rented,35000,674,0,7.0,76000,322000,36,Wedding,0.306,Approved
21,Female,Married,2,Graduate,Salaried,Tier 1,Owned,65000,622,0,0.0,178000,79000,180,Medical,0.015,Approved
31,Female,Married,1,Graduate,Salaried,Tier 1,Owned,41000,675,0,8.3,98000,256000,48,Wedding,0.164,Approved
35,Male,Married,2,Not Graduate,Business Owner,Tier 2,Rented,49000,722,1,6.3,29000,364000,60,Travel,0.165,Approved
45,Female,Single,2,Not Graduate,Self-Employed,Tier 3,Owned,9000,698,0,15.4,19000,506000,60,Education,1.251,Rejected
32,Male,Married,4,Not Graduate,Business Owner,Tier 2,Owned,73000,661,1,6.1,69000,330000,36,Business Expansion,0.15,Approved
23,Female,Single,2,Graduate,Business Owner,Tier 1,Owned,130000,628,1,1.7,69000,262000,36,Home Renovation,0.067,Approved
33,Female,Single,0,Graduate,Unemployed,Tier 2,Owned,14000,523,1,10.6,34000,246000,60,Medical,0.391,Rejected
29,Male,Single,1,Graduate,Business Owner,Tier 2,Rented,76000,659,2,2.9,200000,106000,36,Travel,0.046,Approved
39,Male,Married,1,Not Graduate,Self-Employed,Tier 2,Owned,73000,676,4,11.3,404000,125000,24,Education,0.081,Approved
31,Male,Married,4,Graduate,Salaried,Tier 1,Living with Parents,45000,670,2,6.2,54000,78000,120,Wedding,0.025,Approved
21,Male,Married,2,Not Graduate,Salaried,Tier 2,Living with Parents,25000,606,1,0.0,109000,229000,36,Home Renovation,0.304,Rejected
65,Female,Married,0,Graduate,Self-Employed,Tier 2,Rented,59000,823,4,33.8,115000,286000,48,Medical,0.128,Approved
36,Female,Single,1,Not Graduate,Unemployed,Tier 1,Owned,23000,582,1,7.1,74000,236000,60,Travel,0.228,Rejected
35,Male,Single,2,Not Graduate,Salaried,Tier 2,Living with Parents,22000,629,6,8.6,63000,260000,120,Business Expansion,0.17,Approved
21,Male,Single,1,Graduate,Self-Employed,Tier 3,Owned,52000,648,0,0.0,164000,347000,24,Education,0.314,Rejected
21,Male,Single,1,Graduate,Salaried,Tier 1,Owned,59000,636,4,0.0,277000,99000,60,Wedding,0.037,Rejected
34,Male,Married,2,Graduate,Salaried,Tier 3,Owned,30000,674,2,9.6,18000,228000,48,Travel,0.2,Approved
38,Male,Married,3,Graduate,Salaried,Tier 1,Living with Parents,43000,666,1,11.2,99000,255000,180,Travel,0.071,Approved
41,Male,Single,5,Graduate,Salaried,Tier 2,Owned,47000,676,0,8.4,111000,166000,84,Medical,0.062,Approved
37,Female,Single,2,Graduate,Salaried,Tier 1,Living with Parents,35000,656,2,10.8,36000,61000,24,Education,0.082,Rejected
24,Male,Single,0,Graduate,Business Owner,Tier 1,Owned,331000,682,0,1.7,185000,119000,36,Home Renovation,0.012,Approved
21,Male,Single,1,Not Graduate,Business Owner,Tier 2,Living with Parents,24000,671,0,0.0,107000,162000,12,Home Renovation,0.6,Rejected
34,Female,Married,1,Graduate,Business Owner,Tier 2,Living with Parents,12000,621,2,4.4,64000,240000,120,Business Expansion,0.287,Rejected
30,Male,Married,1,Graduate,Salaried,Tier 3,Living with Parents,38000,625,0,7.7,84000,224000,48,Business Expansion,0.155,Approved
23,Female,Married,2,Not Graduate,Business Owner,Tier 2,Rented,53000,646,1,1.6,217000,697000,12,Education,1.168,Rejected
42,Female,Married,0,Graduate,Salaried,Tier 2,Living with Parents,54000,693,0,10.1,323000,387000,12,Home Renovation,0.637,Approved
21,Male,Single,1,Not Graduate,Salaried,Tier 3,Living with Parents,8000,659,0,0.0,11000,217000,240,Travel,0.299,Rejected
40,Male,Single,4,Not Graduate,Self-Employed,Tier 2,Owned,16000,688,1,15.6,32000,236000,180,Home Renovation,0.177,Approved
22,Male,Married,0,Graduate,Salaried,Tier 1,Rented,39000,669,0,0.6,195000,471000,36,Education,0.401,Approved
36,Male,Married,2,Graduate,Salaried,Tier 1,Rented,81000,723,1,5.8,42000,482000,60,Wedding,0.132,Approved
43,Male,Single,4,Not Graduate,Salaried,Tier 2,Owned,15000,635,1,12.9,56000,268000,60,Vehicle,0.397,Rejected
31,Female,Married,1,Graduate,Self-Employed,Tier 2,Rented,57000,668,1,4.9,178000,622000,60,Medical,0.243,Rejected
50,Male,Married,1,Graduate,Salaried,Tier 1,Owned,44000,749,1,16.7,196000,128000,36,Home Renovation,0.097,Approved
52,Male,Married,0,Graduate,Self-Employed,Tier 1,Rented,60000,735,3,25.1,205000,216000,48,Wedding,0.095,Approved
37,Male,Married,1,Graduate,Self-Employed,Tier 1,Owned,54000,640,2,8.7,180000,1468000,24,Wedding,1.28,Rejected
39,Female,Married,0,Graduate,Self-Employed,Tier 2,Owned,44000,729,0,14.0,194000,336000,12,Travel,0.678,Rejected
44,Male,Married,2,Graduate,Business Owner,Tier 1,Owned,62000,694,1,10.1,219000,202000,24,Business Expansion,0.153,Approved
39,Male,Single,2,Graduate,Salaried,Tier 1,Living with Parents,92000,706,0,11.8,545000,234000,12,Vehicle,0.226,Approved
38,Male,Single,1,Not Graduate,Salaried,Tier 2,Owned,41000,705,2,9.4,178000,245000,48,Debt Consolidation,0.157,Approved
30,Female,Single,2,Graduate,Salaried,Tier 3,Living with Parents,56000,723,1,8.0,277000,598000,84,Education,0.189,Approved
21,Male,Single,1,Graduate,Salaried,Tier 1,Rented,39000,633,1,0.0,110000,356000,24,Home Renovation,0.43,Rejected
22,Female,Married,0,Graduate,Self-Employed,Tier 2,Rented,82000,554,0,0.5,473000,210000,60,Medical,0.057,Rejected
56,Female,Married,1,Graduate,Salaried,Tier 1,Owned,44000,746,3,27.6,131000,80000,36,Home Renovation,0.06,Approved
37,Male,Single,0,Graduate,Salaried,Tier 3,Owned,28000,686,1,8.6,67000,142000,24,Medical,0.239,Approved
32,Female,Married,0,Graduate,Business Owner,Tier 1,Rented,24000,579,4,4.7,136000,228000,24,Medical,0.447,Rejected
46,Male,Single,2,Graduate,Self-Employed,Tier 3,Owned,21000,755,1,20.3,54000,203000,60,Vehicle,0.215,Approved
28,Female,Single,1,Not Graduate,Self-Employed,Tier 3,Rented,24000,518,1,4.6,60000,424000,24,Business Expansion,0.832,Rejected
40,Female,Single,1,Graduate,Business Owner,Tier 3,Living with Parents,15000,693,0,12.0,53000,191000,60,Medical,0.283,Rejected
35,Male,Single,3,Graduate,Business Owner,Tier 1,Owned,39000,592,2,7.6,202000,363000,24,Education,0.438,Rejected
39,Male,Single,2,Graduate,Self-Employed,Tier 2,Rented,64000,734,1,7.1,148000,91000,180,Medical,0.017,Approved
31,Female,Married,2,Graduate,Salaried,Tier 1,Living with Parents,78000,690,0,6.5,395000,160000,12,Wedding,0.182,Approved
26,Male,Single,1,Not Graduate,Unemployed,Tier 3,Living with Parents,8000,618,0,3.0,11000,333000,48,Travel,1.096,Rejected
27,Male,Married,1,Not Graduate,Self-Employed,Tier 3,Living with Parents,88000,681,0,3.2,128000,759000,120,Debt Consolidation,0.124,Approved
27,Male,Single,0,Graduate,Salaried,Tier 3,Living with Parents,51000,668,1,2.1,152000,202000,84,Wedding,0.07,Approved
34,Female,Single,3,Graduate,Salaried,Tier 2,Owned,126000,664,0,9.0,245000,361000,24,Debt Consolidation,0.135,Approved
21,Female,Single,0,Graduate,Self-Employed,Tier 2,Living with Parents,81000,563,2,0.0,256000,490000,24,Business Expansion,0.285,Rejected
23,Male,Married,1,Not Graduate,Unemployed,Tier 2,Living with Parents,28000,662,1,1.3,16000,389000,60,Home Renovation,0.309,Rejected
36,Male,Single,2,Graduate,Salaried,Tier 2,Rented,51000,651,0,5.7,103000,344000,84,Medical,0.119,Approved
33,Male,Married,1,Not Graduate,Salaried,Tier 2,Owned,26000,670,0,5.8,148000,178000,120,Vehicle,0.098,Approved
36,Female,Married,2,Not Graduate,Business Owner,Tier 2,Rented,58000,638,0,8.7,309000,547000,60,Travel,0.21,Rejected
34,Male,Married,0,Not Graduate,Business Owner,Tier 3,Owned,12000,600,1,9.6,8000,100000,120,Debt Consolidation,0.12,Rejected
57,Female,Married,2,Graduate,Salaried,Tier 2,Owned,37000,737,1,15.6,182000,103000,48,Medical,0.073,Approved
36,Male,Single,3,Graduate,Salaried,Tier 3,Rented,31000,678,0,11.7,91000,674000,60,Medical,0.484,Approved
31,Female,Single,0,Graduate,Self-Employed,Tier 3,Rented,60000,747,2,4.9,300000,273000,48,Medical,0.12,Approved
35,Male,Single,3,Graduate,Salaried,Tier 2,Rented,45000,708,0,9.8,92000,105000,120,Vehicle,0.033,Approved
44,Male,Married,1,Graduate,Business Owner,Tier 1,Owned,49000,714,0,19.8,173000,93000,24,Home Renovation,0.089,Approved
34,Male,Single,1,Not Graduate,Salaried,Tier 2,Rented,19000,650,0,9.5,113000,91000,36,Travel,0.159,Rejected
41,Female,Single,0,Graduate,Salaried,Tier 2,Owned,27000,701,3,6.8,62000,745000,120,Business Expansion,0.396,Approved
38,Female,Married,2,Graduate,Salaried,Tier 1,Owned,44000,665,0,8.9,236000,209000,84,Medical,0.084,Approved
32,Male,Single,1,Graduate,Salaried,Tier 2,Rented,27000,664,2,7.1,144000,161000,84,Home Renovation,0.105,Approved
35,Female,Married,1,Not Graduate,Salaried,Tier 3,Rented,8000,604,0,9.9,11000,584000,24,Vehicle,3.436,Rejected
49,Female,Married,0,Not Graduate,Salaried,Tier 1,Owned,50000,697,0,14.2,92000,255000,60,Home Renovation,0.113,Approved
37,Male,Single,0,Graduate,Business Owner,Tier 2,Owned,39000,677,1,8.9,47000,181000,60,Home Renovation,0.103,Approved
26,Male,Single,0,Graduate,Salaried,Tier 3,Rented,25000,650,1,2.6,52000,415000,120,Education,0.238,Approved
32,Male,Single,1,Graduate,Business Owner,Tier 2,Rented,55000,660,0,7.9,186000,314000,48,Medical,0.15,Approved
21,Male,Married,4,Graduate,Salaried,Tier 2,Owned,31000,616,0,0.0,174000,315000,60,Debt Consolidation,0.226,Approved
36,Female,Married,2,Graduate,Self-Employed,Tier 2,Owned,80000,640,0,11.5,214000,187000,36,Debt Consolidation,0.078,Approved
46,Female,Married,0,Not Graduate,Salaried,Tier 2,Rented,27000,647,0,11.4,160000,128000,120,Home Renovation,0.068,Approved
22,Female,Married,2,Graduate,Salaried,Tier 1,Living with Parents,32000,617,3,0.6,86000,120000,180,Medical,0.045,Rejected
36,Male,Married,2,Graduate,Self-Employed,Tier 3,Rented,23000,582,4,8.8,86000,234000,48,Education,0.268,Rejected
43,Male,Single,0,Graduate,Self-Employed,Tier 2,Living with Parents,49000,741,0,6.8,285000,221000,48,Education,0.119,Approved
44,Female,Single,1,Not Graduate,Business Owner,Tier 2,Rented,55000,642,0,19.8,209000,294000,36,Home Renovation,0.178,Approved
46,Female,Married,3,Graduate,Business Owner,Tier 2,Rented,37000,677,0,14.5,97000,170000,36,Home Renovation,0.153,Rejected
21,Female,Single,1,Graduate,Self-Employed,Tier 1,Living with Parents,55000,653,1,0.0,186000,474000,60,Debt Consolidation,0.192,Approved
39,Female,Single,1,Not Graduate,Salaried,Tier 3,Rented,40000,723,1,12.6,140000,99000,24,Education,0.117,Approved
21,Female,Married,1,Graduate,Business Owner,Tier 3,Living with Parents,56000,659,0,0.0,60000,282000,60,Wedding,0.112,Approved
26,Male,Single,1,Not Graduate,Self-Employed,Tier 1,Rented,52000,667,1,2.8,142000,127000,60,Home Renovation,0.054,Approved
42,Male,Married,1,Graduate,Unemployed,Tier 3,Living with Parents,8000,718,0,17.1,27000,190000,84,Debt Consolidation,0.419,Rejected
36,Female,Married,3,Not Graduate,Business Owner,Tier 2,Rented,33000,613,0,6.2,158000,126000,36,Wedding,0.127,Rejected
41,Female,Single,0,Graduate,Salaried,Tier 2,Living with Parents,46000,709,2,17.5,25000,176000,84,Business Expansion,0.068,Approved
26,Male,Married,0,Graduate,Salaried,Tier 2,Owned,60000,680,1,3.3,299000,116000,12,Vehicle,0.172,Approved
48,Male,Single,3,Not Graduate,Self-Employed,Tier 1,Rented,60000,726,1,13.5,119000,121000,60,Vehicle,0.045,Approved
41,Female,Single,0,Graduate,Self-Employed,Tier 2,Living with Parents,36000,669,0,14.9,160000,392000,120,Debt Consolidation,0.156,Rejected
43,Male,Single,1,Graduate,Self-Employed,Tier 1,Owned,40000,719,3,16.4,190000,95000,84,Vehicle,0.042,Approved
25,Male,Single,2,Graduate,Business Owner,Tier 2,Rented,78000,666,0,3.1,408000,324000,180,Travel,0.05,Approved
45,Male,Married,0,Graduate,Salaried,Tier 2,Living with Parents,20000,749,1,11.4,115000,366000,24,Home Renovation,0.861,Approved
